isn_vinculo,cod_cargo,num_ano,num_mes,207
296926,A025,2007,8,0.16015657434315878
296926,A025,2007,3,0.10000000000000009
296926,A025,2007,10,0.16015657434315878
296926,A025,2007,5,0.10000000000000009
296926,A025,2007,12,0.16015657434315878
296926,A025,2007,7,0.16015657434315878
296926,A025,2007,6,0.10000000000000009
296926,A025,2007,9,0.16015657434315878
296926,A025,2008,9,0.2676857837613431
296926,A025,2008,6,0.16015657434315878
296926,A025,2008,3,0.16015657434315878
296926,A025,2008,2,0.16015657434315878
296926,A025,2008,12,0.2676857837613431
296926,A025,2008,5,0.16015657434315878
296926,A025,2008,8,0.2676857837613431
296926,A025,2008,4,0.16015657434315878
296926,A025,2008,7,0.2676857837613431
296926,A025,2009,9,0.37940513611292337
296926,A025,2009,6,0.2676857837613431
296926,A025,2009,3,0.2676857837613431
296926,A025,2009,2,0.2676857837613431
296926,A025,2009,12,0.37940513611292337
296926,A025,2009,5,0.2676857837613431
296926,A025,2009,8,0.37940513611292337
296926,A025,2009,4,0.2676857837613431
296926,A025,2009,7,0.37940513611292337
296926,A025,2010,9,0.4748976929007773
296926,A025,2010,6,0.37940513611292337
296926,A025,2010,3,0.37940513611292337
296926,A025,2010,2,0.37940513611292337
296926,A025,2010,12,0.4748976929007773
296926,A025,2010,5,0.37940513611292337
296926,A025,2010,8,0.4748976929007773
296926,A025,2010,4,0.37940513611292337
296926,A025,2010,7,0.4748976929007773
296926,A025,2011,9,0.5783435146195364
296926,A025,2011,6,0.5783435146195364
296926,A025,2011,3,0.5783435146195364
296926,A025,2011,2,0.5783435146195364
296926,A025,2011,12,0.5783435146195364
296926,A025,2011,5,0.5783435146195364
296926,A025,2011,8,0.5783435146195364
296926,A025,2011,4,0.5783435146195364
296926,A025,2011,7,0.5783435146195364
296926,A025,2012,9,0.7304163454124908
296926,A025,2012,6,0.7304163454124908
296926,A025,2012,3,0.7304163454124908
296926,A025,2012,2,0.7304163454124908
296926,A025,2012,12,0.7304163454124908
296926,A025,2012,5,0.7304163454124908
296926,A025,2012,8,0.7304163454124908
296926,A025,2012,4,0.7304163454124908
296926,A025,2012,7,0.7304163454124908
296926,A025,2013,9,0.8601239546883341
296926,A025,2013,6,0.8601239546883341
296926,A025,2013,3,0.8601239546883341
296926,A025,2013,2,0.8601239546883341
296926,A025,2013,12,0.8601239546883341
296926,A025,2013,5,0.8601239546883341
296926,A025,2013,8,0.8601239546883341
296926,A025,2013,4,0.8601239546883341
296926,A025,2013,7,0.8601239546883341
296926,A025,2014,11,1.0000000000000002
296926,A025,2014,3,1.0000000000000002
296926,A025,2014,2,1.0000000000000002
296926,A025,2014,9,1.0000000000000002
296926,A025,2014,5,1.0000000000000002
296926,A025,2014,8,1.0000000000000002
296926,A025,2014,4,1.0000000000000002
296926,A025,2014,7,1.0000000000000002
