isn_vinculo,cod_cargo,num_ano,num_mes,15,207
14722,C750,2007,8,0.1858823529411766,0.1858754745904707
14722,C750,2007,3,0.10000000000000009,0.10000000000000009
14722,C750,2007,10,0.1858823529411766,0.1858754745904707
14722,C750,2007,5,0.10000000000000009,0.10000000000000009
14722,C750,2007,12,0.1858823529411766,0.1858754745904707
14722,C750,2007,7,0.1858823529411766,0.1858754745904707
14722,C750,2007,6,0.10000000000000009,0.10000000000000009
14722,C750,2007,9,0.1858823529411766,0.1858754745904707
14722,C750,2008,9,0.3393582887700535,0.33938610719951523
14722,C750,2008,6,0.1858823529411766,0.1858754745904707
14722,C750,2008,3,0.1858823529411766,0.1858754745904707
14722,C750,2008,2,0.1858823529411766,0.1858754745904707
14722,C750,2008,12,0.3393582887700535,0.33938610719951523
14722,C750,2008,5,0.1858823529411766,0.1858754745904707
14722,C750,2008,8,0.3393582887700535,0.33938610719951523
14722,C750,2008,4,0.1858823529411766,0.1858754745904707
14722,C750,2008,7,0.3393582887700535,0.33938610719951523
14722,C750,2009,9,0.4988770053475937,0.4988645478690219
14722,C750,2009,6,0.3393582887700535,0.33938610719951523
14722,C750,2009,3,0.3393582887700535,0.33938610719951523
14722,C750,2009,2,0.3393582887700535,0.33938610719951523
14722,C750,2009,12,0.4988770053475937,0.4988645478690219
14722,C750,2009,5,0.3393582887700535,0.33938610719951523
14722,C750,2009,8,0.4988770053475937,0.4988645478690219
14722,C750,2009,4,0.3393582887700535,0.33938610719951523
14722,C750,2009,7,0.4988770053475937,0.4988645478690219
14722,C750,2010,9,0.63524064171123,0.6352257535516301
14722,C750,2010,6,0.4988770053475937,0.4988645478690219
14722,C750,2010,3,0.4988770053475937,0.4988645478690219
14722,C750,2010,2,0.4988770053475937,0.4988645478690219
14722,C750,2010,12,0.63524064171123,0.6352257535516301
14722,C750,2010,5,0.4988770053475937,0.4988645478690219
14722,C750,2010,8,0.63524064171123,0.6352257535516301
14722,C750,2010,4,0.4988770053475937,0.4988645478690219
14722,C750,2010,7,0.63524064171123,0.6352257535516301
14722,C750,2011,9,0.7828877005347592,0.7828969180585013
14722,C750,2011,6,0.7828877005347592,0.7828969180585013
14722,C750,2011,3,0.7828877005347592,0.7828969180585013
14722,C750,2011,2,0.7828877005347592,0.7828969180585013
14722,C750,2011,12,0.7828877005347592,0.7828969180585013
14722,C750,2011,5,0.7828877005347592,0.7828969180585013
14722,C750,2011,8,0.7828877005347592,0.7828969180585013
14722,C750,2011,4,0.7828877005347592,0.7828969180585013
14722,C750,2011,7,0.7828877005347592,0.7828969180585013
14722,C750,2012,11,1.0,1.0
14722,C750,2012,3,1.0,1.0
14722,C750,2012,2,1.0,1.0
14722,C750,2012,9,1.0,1.0
14722,C750,2012,5,1.0,1.0
14722,C750,2012,8,1.0,1.0
14722,C750,2012,4,1.0,1.0
14722,C750,2012,7,1.0,1.0
